   741 -0.018500 -0.023700 0.105800 0.038999 -0.970554 -0.237708 0.992624 0.010219 0.120805 -0.114819 -0.240666 0.963793 0.989854
   742 -0.018500 -0.023700 0.105800 0.992623 0.010243 0.120811 -0.039023 0.970553 0.237705 -0.114819 -0.240666 0.963793 -0.001851
   743 -0.018500 -0.023700 0.105800 0.039023 -0.970553 -0.237705 0.992623 0.010243 0.120811 -0.114819 -0.240666 0.963793 -0.001461
   811 0.000100 0.144500 0.018700 -0.000339 0.258503 -0.966010 -0.999914 -0.012734 -0.003020 -0.013082 0.965926 0.258486 0.994917
   812 0.000100 0.144500 0.018700 -0.999914 -0.012748 -0.002971 0.000390 -0.258503 0.966011 -0.013082 0.965926 0.258486 -0.006868
   813 0.000100 0.144500 0.018700 -0.000390 0.258503 -0.966011 -0.999914 -0.012748 -0.002971 -0.013082 0.965926 0.258486 -0.002184
   821 0.000100 0.131600 0.050000 0.000694 0.498196 -0.867064 -0.999998 -0.001276 -0.001445 -0.001826 0.867064 0.498194 0.998428
   822 0.000100 0.131600 0.050000 0.000701 0.498196 -0.867064 -0.999998 -0.001273 -0.001450 -0.001826 0.867064 0.498194 -0.006925
   823 0.000100 0.131600 0.050000 -0.999998 -0.001273 -0.001450 -0.000701 -0.498196 0.867064 -0.001826 0.867064 0.498194 -0.000410
   911 0.033100 0.139700 0.017300 -0.001981 0.248083 -0.968737 -0.964403 0.255686 0.067466 0.264430 0.934386 0.238745 0.997442
   912 0.033100 0.139700 0.017300 -0.964403 0.255673 0.067517 0.002031 -0.248096 0.968733 0.264430 0.934386 0.238745 -0.004524
   913 0.033100 0.139700 0.017300 -0.002031 0.248096 -0.968733 -0.964403 0.255673 0.067517 0.264430 0.934386 0.238745 -0.002239
   921 0.063800 0.125300 0.013500 -0.014503 0.227496 -0.973671 -0.788114 0.596665 0.151215 0.615356 0.769558 0.170639 1.001919
   922 0.063800 0.125300 0.013500 -0.788116 0.596682 0.151145 0.014446 -0.227453 0.973682 0.615356 0.769558 0.170639 -0.005887
   923 0.063800 0.125300 0.013500 -0.014446 0.227453 -0.973682 -0.788116 0.596682 0.151145 0.615356 0.769558 0.170639 -0.004187
   931 0.067100 0.108800 0.044400 0.176723 0.378681 -0.908499 -0.701589 0.695843 0.153543 0.690317 0.610258 0.388650 0.998392
   932 0.067100 0.108800 0.044400 0.176780 0.378625 -0.908511 -0.701574 0.695874 0.153469 0.690317 0.610257 0.388650 -0.005318
   933 0.067100 0.108800 0.044400 -0.701574 0.695874 0.153469 -0.176780 -0.378625 0.908511 0.690317 0.610257 0.388650 0.000672
   941 0.033800 0.127300 0.048600 0.056924 0.473311 -0.879054 -0.962646 0.259460 0.077412 0.264720 0.841811 0.470401 1.001226
